都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,ＰＯＩコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
23238,KA001,愛知県,長久手市,色金山歴史公園（茶室管理棟）,イロガネヤマレキシコウエン（チャシツカンリトウ）,,,愛知県長久手市岩作色金37-1,,35.186318,137.054710,,,,,,,「長久手の戦い」で徳川家康軍が陣を張り、軍議を開いたといわれる色金山。茶室管理棟には、愛知県犬山市の国宝茶室「如庵（じょあん）」を模した『胡牀庵（こしょうあん）』のほか、立礼席や二つの和室があります。抹茶体験可（有料）。,,,,,文化財・スポーツ課,0561-56-0627,,,,,
23238,KA002,愛知県,長久手市,長久手古戦場,ナガクテコセンジョウ,,,愛知県長久手市仏が根1202,,35.1734548,137.0479383,,,,,,,かつて「小牧・長久手の戦い」の激戦場となった地は、複数の施設をもつ公園として生まれ変わりました。広場、長久手市郷土資料室などがあり、休日には多くの人々が散策に訪れます。,,,,,文化財・スポーツ課,0561-56-0627,,,,,
23238,KA003,愛知県,長久手市,御旗山,ミハタヤマ,,,愛知県長久手市富士浦602,,35.1786042,137.0430634,,,,,,,色金山に兵を進めた家康は、秀吉方の様子をうかがいながらこの山に進軍し、頂上に金扇の馬標（うまじるし）を立てました。後年、地元の人々がまつった富士社が山頂にあり、その拝殿前に「御旗山」と記す石柱があります。（国指定史跡）,,,,,文化財・スポーツ課,0561-56-0627,,,,,
23238,KA004,愛知県,長久手市,首塚,クビツカ,,,愛知県長久手市岩作元門41,,35.183699,137.0528065,,,,,,,岩作村安昌寺の雲山和尚が、合戦で戦死した多くの将兵の屍を集めて塚を築き、手厚く葬った跡とされています。『尾張名所図会』にもはっきりと描かれ、塚上には宝永3年（1706）の福富親茂の碑や明治43年（1910）の地元有志の漢文碑が立てられました。（国指定史跡）,,,,,文化財・スポーツ課,0561-56-0627,,,,,
23238,KA005,愛知県,長久手市,古戦場公園（長久手古戦場記念館）  ,コセンジョウコウエン（ナガクテコセンジョウキネンカン）,,,愛知県長久手市武蔵塚204,,35.173276,137.048492,,,,,,,天正12年(1584)に起きた「小牧・長久手の戦い」の舞台を、最新の映像演出や展示で分かりやすく紹介する体験型の施設です。館内では、徳川家康と羽柴秀吉(のちの豊臣秀吉)が対峙した戦いの背景や戦術を臨場感たっぷりに学ぶことができ、戦国時代のダイナミズムを体感できます。周辺には、史跡も点在しており、実際の古戦場とあわせて巡ることで、より深く歴史の息吹きを感じられるスポットです。,,,,,文化財・スポーツ課,0561-56-0627,,,,,
23238,KA006,愛知県,長久手市,名都美術館,メイトビジュツカン,,,愛知県長久手市杁ケ池301,,35.170968,137.038830,,,,,,,季節感あふれる花鳥画や美人画などとともに枯山水の庭園も楽しめる美術館。日本画の普及を目指し、テーマに応じた所蔵品展や多彩な特別展を開催。期間中は学芸員によるギャラリートーク等も行われる。,,,,,名都美術館,0561-62-8884,,,,,
23238,KA007,愛知県,長久手市,トヨタ博物館,トヨタハクブツカン,,,愛知県長久手市横道41-100,,35.172746,137.058022,,,,,,,世界の自動車とクルマ文化の歴史を紹介する博物館です。
約150台の名車と、約4000点の資料やミニカーが並び、車好きはもちろん、家族連れにも楽しんでいただける空間です。,,,,,トヨタ博物館,0561-63-5151,,,,,
23238,KA008,愛知県,長久手市,愛知県農業総合試験場（農業民俗館）,アイチケンノウギョウソウゴウシケンジョウノウギョウミンゾクカン,,,愛知県長久手市岩作三ケ峯1-1,,35.164054,137.070197,,,,,,,,,,,,愛知県農業総合試験場,0561-62-0085,,,,,
23238,KA009,愛知県,長久手市,愛・地球博記念公園,アイチキュウハクキネンコウエン,モリコロパーク,,愛知県長久手市茨ケ廻間乙1533-1,,35.176815,137.089034,,,,,,,愛知県最大級の広大な公園。
園内にはジブリパークをはじめ、運動施設や遊具を備え、
四季折々の自然や散策が楽しめる、家族連れにも人気のスポットです。,,,,,愛・地球博記念公園,0561-64-1130,,,,,
